   line num    your line sums  my line sums    difference   
       1            2239           2239             0       
       2            2700           2700             0       
       3            3181           3181             0       
       4            3286           6340           3054      
       5             923           1301            378      
       6            3799           3799             0       
       7            6492           6492             0       
       8            2303           2303             0       
       9            5068           5068             0       
      10            1723           1723             0       
      11            3064           3064             0
      12            5632           5632             0
      13            3668           3668             0
      14            7085           7085             0
      15            3410           3410             0
      16            2523           2523             0
      17            2704           2704             0
      18            3456           3456             0
      19            5027           5027             0
      20            2124           2180            56
      21            3598           3598             0
      22            3109           3109             0
      23            2989           2989             0
      24            4265           4265             0
      25            4804           4804             0
      26            6352           6352             0
      27            3355           3355             0
      28            2668           2668             0
